,Unnamed: 0,userID,movieID,rating,time
7218,7218,50,3861,4,977961307
7219,7219,50,3863,4,977960860
7224,7224,50,2160,4,977960724
7225,7225,50,902,4,977960619
7226,7226,50,2312,4,977961130
7229,7229,50,2338,4,977960565
7232,7232,50,3155,4,977961187
7240,7240,50,266,4,977961187
7244,7244,50,3565,4,977960970
7248,7248,50,2858,5,977960681
7249,7249,50,2791,4,977961102
7251,7251,50,524,4,977960619
7253,7253,50,2948,4,977961130
7260,7260,51,3863,4,977947337
7261,7261,51,3793,4,977947369
7262,7262,51,588,4,977947865
7263,7263,51,1,5,977947828
7264,7264,51,1337,4,977947270
7265,7265,51,1265,4,977947828
7266,7266,51,3897,5,977947654
7267,7267,51,3114,5,977947865
7271,7271,51,3159,5,977947337
7274,7274,51,2294,4,977947170
7275,7275,51,1721,4,977947270
7276,7276,51,3255,5,977947865
7277,7277,51,3409,5,977947448
7279,7279,51,2396,4,977947865
7282,7282,51,1923,4,977947931
7283,7283,51,318,5,977947600
7284,7284,51,2599,4,977947889
7285,7285,51,3617,4,977947337
7286,7286,51,3618,4,977947369
7288,7288,51,3553,5,977947405
7290,7290,51,3556,4,977947337
7291,7291,51,3484,4,977947448
7293,7293,51,1895,5,977948011
7294,7294,51,34,4,977947865
7295,7295,51,39,4,977947984
7299,7299,51,3785,5,977947337
7302,7302,52,2126,4,977947882
7303,7303,52,589,5,977947339
7304,7304,52,6,5,977947339
7305,7305,52,3948,5,977947047
7306,7306,52,1408,4,977947339
7307,7307,52,733,5,977947504
7309,7309,52,593,4,977946561
7310,7310,52,3952,4,977947102
7312,7312,52,3020,4,977947857
7314,7314,52,3107,4,977947607
7315,7315,52,2167,4,977947435
7319,7319,52,1379,4,977947771
7321,7321,52,780,4,977947540
7322,7322,52,3208,4,977947472
7323,7323,52,1608,4,977947540
7324,7324,52,1610,4,977947292
7325,7325,52,2353,5,977947381
7326,7326,52,1552,4,977947828
7327,7327,52,886,4,977947828
7328,7328,52,1573,5,977947435
7329,7329,52,3252,4,977946561
7331,7331,52,110,5,977947292
7336,7336,52,3274,4,977947607
7337,7337,52,1676,4,977947724
7341,7341,52,2706,5,977948475
7343,7343,52,165,4,977947607
7344,7344,52,3617,4,977947937
7345,7345,52,1876,4,977947651
7348,7348,52,349,4,977947381
7349,7349,52,2763,5,977947435
7351,7351,52,353,5,977947435
7354,7354,52,1100,4,977947857
7355,7355,52,2916,4,977947435
7359,7359,52,511,5,977947339
7360,7360,52,2858,5,977947937
7362,7362,52,517,4,977947827
7364,7364,52,380,4,977947435
7365,7365,52,527,4,977946593
7366,7366,52,457,4,977947292
7367,7367,52,70,4,977947827
7369,7369,52,474,4,977947292
7370,7370,52,2028,5,977947292
7373,7373,52,555,4,977947381
7375,7375,52,3916,5,977947047
7376,7376,52,1233,4,977947292
7378,7378,52,3785,5,977948003
7379,7379,53,2987,5,977949703
7380,7380,53,1248,5,977952986
7381,7381,53,1175,5,977975954
7382,7382,53,1249,5,977972926
7383,7383,53,1177,5,977986413
7384,7384,53,571,5,977985234
7385,7385,53,1179,5,977981259
7386,7386,53,718,5,977976093
7388,7388,53,3930,5,977980245
7389,7389,53,3932,5,977975993
7391,7391,53,1320,4,977975068
7392,7392,53,1321,5,977980183
7394,7394,53,3793,5,977949703
7395,7395,53,2054,4,977976717
7397,7397,53,1184,5,977950419
7398,7398,53,724,4,977980896
7399,7399,53,2997,5,977948890
7400,7400,53,1258,5,977980051
7401,7401,53,1259,5,977983143
7402,7402,53,1186,5,977983335
7405,7405,53,581,5,977990888
7406,7406,53,587,4,977974136
7407,7407,53,588,4,977979726
7408,7408,53,589,5,977953928
7409,7409,53,2,5,977981548
7410,7410,53,3004,4,977948848
7411,7411,53,1333,5,977980114
7412,7412,53,1407,4,977974218
7413,7413,53,1334,4,977976596
7414,7414,53,1261,5,977980624
7415,7415,53,1408,5,977950419
7417,7417,53,2138,5,977981423
7418,7418,53,1190,5,977986365
7419,7419,53,1339,4,977980504
7420,7420,53,1266,5,977949804
7421,7421,53,1193,5,977946400
7422,7422,53,661,5,977979726
7423,7423,53,1268,4,977985605
7424,7424,53,735,4,977980147
7425,7425,53,1196,5,977950042
7426,7426,53,590,4,977949861
7427,7427,53,736,4,977975420
7428,7428,53,1199,5,977976020
7429,7429,53,592,5,977984657
7430,7430,53,593,5,977952986
7431,7431,53,594,5,977979520
7433,7433,53,2140,5,977976093
7435,7435,53,3018,4,977980283
7436,7436,53,2143,5,977981548
7438,7438,53,1343,4,977973857
7439,7439,53,1270,4,977976020
7441,7441,53,1271,5,977985532
7442,7442,53,1345,4,977980183
7443,7443,53,1272,5,977982718
7444,7444,53,2148,4,977980579
7445,7445,53,1347,4,977980283
7446,7446,53,1274,5,977953928
7447,7447,53,741,5,977975993
7448,7448,53,2078,5,977979726
7449,7449,53,1277,5,977983091
7450,7450,53,1278,5,977980114
7451,7451,53,1279,5,977984721
7452,7452,53,745,5,977952986
7453,7453,53,674,5,977976676
7454,7454,53,1350,5,977980147
7455,7455,53,2080,4,977979551
7456,7456,53,2154,4,977988255
7457,7457,53,2081,4,977979726
7458,7458,53,1425,5,977946400
7460,7460,53,1280,5,977982675
7461,7461,53,1282,5,977979551
7462,7462,53,3897,5,977981899
7463,7463,53,1356,5,977976185
7464,7464,53,1357,4,977984231
7465,7465,53,2087,5,977979589
7466,7466,53,2088,5,977979943
7467,7467,53,829,4,977979943
7468,7468,53,3100,4,977983198
7469,7469,53,3030,5,977981973
7470,7470,53,3032,4,977976353
7471,7471,53,3033,5,977977571
7472,7472,53,2232,4,977976467
7473,7473,53,2161,5,977981423
7475,7475,53,901,5,977979906
7476,7476,53,2091,4,977976717
7477,7477,53,902,5,977946355
7478,7478,53,2165,5,977985930
7479,7479,53,1290,5,977986492
7480,7480,53,903,5,977953928
7482,7482,53,904,5,977953833
7483,7483,53,2167,4,977980540
7484,7484,53,2094,4,977976676
7485,7485,53,1365,5,977985605
7486,7486,53,832,5,977974188
7487,7487,53,2096,4,977979589
7488,7488,53,1294,5,977950042
7489,7489,53,1295,5,977983143
